id,name,gender,life,image,history
3275,Amelia Valcárcel,Mujer,Madrid (16 de noviembre de 1950),descarga_0.jpg,Actualidad
3276,Judith Butler,Mujer,Cleveland (24 defebrero de 1956) -,judith_butler_ap_img.jpg,Actualidad
3285,Averroes,Hombre,"Córdoba, Al-Andalus, (14-04-1126) - Marrakech (10-12-1198)",averroes.jpg,Filosofía medieval
3286,Augusto Comte,Hombre,Montpellier (19 de enero de 1798) - París (5 de septiembre de 1857),Comte.jpg,Filosofía moderna
3287,Confucio,Hombre,Zou (28 de septiembre de 551 a. C.) - Lu (,confucio.jpg,Filosofía antigua
3288,Thomas Hobbes,Hombre,Westport (5 de abril de 1588) - Derbyshire (4 de diciembre de 1679,hobbes.jpg,Filosofía moderna
3289,Heráclito,Hombre,Éfeso (535 a. C. - 484 a.C.),heraclito.jpg,Filosofía antigua
3290,Enrique Dussel,Hombre,"Departamento de La Paz, Argentina (24 de diciembre de 1934) -",dussel.jpg,Actualidad
3291,Michel Foucault,Hombre,Poitiers (15 de octubre de 1926) - París (25 de junio de 1984),foucault.jpg,Filosofía contemporánea
3292,Soren Kierkegaard,Hombre,Copenague (5 de mayo de 1813 - 11 de noviembre de 1855),kierkegaard.jpg,Filosofía moderna
3293,Lao Tse,Hombre,,Lao-tse.jpg,Filosofía antigua
3294,Emmanuel Levinas,Hombre,,levinas.jpg,Filosofía contemporánea
3295,Nicolás Maquiavelo,Hombre,,maquiavelo.jpg,Filosofía moderna
3296,Sigmund Freud,Hombre,,sigmund-freud.jpg,Filosofía contemporánea
3297,Sócrates,Hombre,,socrates.jpg,Filosofía antigua
3298,Baruch Spinoza,Hombre,,spinoza.jpg,Filosofía moderna
3299,Hipatia de Alejandría,Mujer,,hipatia.jpeg,Filosofía antigua
3300,Sun Tzu,Hombre,,sun-tzu.jpeg,Filosofía antigua
3301,Theodor W. Adorno,Hombre,,theodor-adorno.jpeg,Filosofía contemporánea
3302,Max Horkheimer,Hombre,,horkheimer.jpeg,Filosofía contemporánea
3303,Gilles Deleuze,Hombre,,deleuze.jpeg,Filosofía contemporánea
3304,Jacques Derrida,Hombre,,jacques-derrida.jpeg,Filosofía contemporánea
3699,Martin Heidegger,Hombre,"Messkirch, Baden-Wurtemberg (26 de septiembre de 1889) - Friburgo de Brisgovia (26 de mayo de 1976)",heidegger.jpg,Filosofía contemporánea
3700,Edmund Husserl,,Prossnitz (8 de abril de 1859) - Friburgo (27 de abril de 1938),husserl.jpg,Filosofía contemporánea
